qid	query	var_desc	var_narr
68742	form of employment	Variables that operationalize the concept of employment form: employment_status, contract_type, job_type, employment_relation, working_hours, hourly_hours_category, part_time_indicator, temporary_contract_indicator, self_employed_flag, tenure_months, multiple_jobs_flag, gig_worker_flag, telework_indicator, agency_worker_flag.	Relevant variables: fields explicitly capturing type of employment contract/arrangement (permanent vs. temporary; full- vs. part-time; self-employed vs. employee), working hours and schedule, source of contract (agency/platform), number of jobs, and measures of contract precarity (duration, notice period). Prefer variables with standardized coding (ILO/EU definitions) or clear codebooks. Exclude variables that only indicate employer legal form or occupational classification without any contract/arrangement information.
61134	führung und vertrauen	Variables that capture leader-related trust and related constructs: trust_in_leader, trust_in_management, perceived_leader_integrity, perceived_leader_competence, leader_member_exchange_score (LMX), organizational_trust, interpersonal_trust_at_work.	Relevant variables: items or composite scores that explicitly reference trust toward supervisors/management or measure dimensions of trust (affective vs. cognitive), perceived leader fairness/honesty/competence, LMX indices, and measures of team-level trust. Prefer variables with validated German translations. Exclude generic societal trust variables that lack explicit workplace or leader referents unless used as contextual comparison.
61312	führung	Variables operationalizing leadership: leadership_style, transformational_leadership_score, transactional_leadership_score, authoritarian_leadership_flag, leader_effectiveness_rating, leadership_self_efficacy, LMX_score, leadership_experience_years.	Relevant variables: measures that capture leaders' behaviors, styles and effectiveness (self, subordinate or peer ratings), leader characteristics (tenure, role), and follower outcomes attributed to leadership. Prefer validated composite scores (e.g., MLQ subscales, LMX). Exclude variables that vaguely reference managerial position without any measure of leadership behavior or influence.
2541	gender role	Variables representing gender-role attitudes and role behavior: gender_role_attitudes, traditional_gender_role_index, egalitarianism_score, attitudes_toward_women_working, childcare_responsibility_belief, division_of_household_labor, bem_sex_role_inventory_scores.	Relevant variables: items or scale scores that explicitly measure normative beliefs about gendered responsibilities (housework, childcare, breadwinner role), self-reported role behaviors, and identity-based role measures. Prefer validated scales (AWS, BSRI) and harmonized items across waves. Exclude variables that only indicate respondent sex/gender with no attitudinal or behavioral content.
3938	gender	Variables capturing gender constructs: gender_identity, sex_at_birth, current_gender, gender_expression, gender_nonconformity_flag, gender_role_attitudes, reported_discrimination_due_to_gender, gender_binary_flag.	Relevant variables: explicit measures of gender identity (including non-binary/transgender options), variables distinguishing sex and gender, measures of gender norms and experiences (discrimination, roles), and harmonized codes for analysis. Prefer clearly documented coding and, for identity measures, inclusion of open/other categories. Exclude variables that only indicate biological sex when the intended concept is social gender identity or norms.
61636	gender studies	Variables capturing gender identity, gender roles and norms, attitudes toward gender equality, gendered behaviours, and intersectional attributes linked to gender.	Include: variables named gender, sex assigned at birth, gender identity, gender expression, masculinity/femininity scores, gender role attitudes, division of household labour, childcare responsibility, experiences of discrimination by gender, intersectional identifiers (race, class, sexuality) that interact with gender. Exclude: physiological or clinical biomarkers used solely for biological sex classification where no social/gender interpretation is provided.
62134	general self-efficacy	Variables representing general self‑efficacy, usually operationalized as scale total scores or subscale scores from validated instruments.	Include: variables labeled general self‑efficacy, GSE_total, self‑efficacy_score, aggregated Likert scale scores from general self‑efficacy instruments, and item‑level variables for psychometric analysis. Exclude: variables that measure only situational or task‑specific self‑efficacy unless accompanied by a general self‑efficacy measure.
2575	generation y	Variables enabling identification or characterization of Generation Y and their characteristics: birth year, age, cohort indicators and common outcomes studied for this group.	Include: birth_year, age_at_survey, generation_label (e.g., 'Millennial', 'Generation Y'), employment status, educational attainment, family formation markers, technology usage, political attitudes and other variables frequently analyzed by cohort. Exclude: variables that cannot be linked to respondent age or birth cohort.
1423	generelle selbstwirksamkeit	Variables measuring general self‑efficacy in German datasets: scale totals, item responses, and variable labels such as 'generelle_Selbstwirksamkeit' or 'SWE'.	Include: variables for Gesamtscore der Allgemeinen Selbstwirksamkeit, individual item variables (Likert responses), and related constructs (self‑confidence, coping expectations) when linked to the general self‑efficacy concept. Exclude: variables referring solely to situational Selbstwirksamkeit without a general measure.
61544	geschlecht und geschlechterrollen	Variables that operationalize gender roles and related attitudes/behaviours: role attitude scales, time use in domestic tasks, occupational sector by gender, and masculinity/femininity measures.	Include: variables such as gender_role_attitude, household_task_hours, childcare_responsibility, Bem masculinity/femininity scores, attitudes toward women's employment, and indicators of occupational gender composition. Exclude: simple sex or gender identifiers without accompanying role or attitude measures.
61473	geschlechter rolle	Variables that operationalize gender role concepts: attitudinal items, behavioral indicators, role allocations, and demographic covariates.	Include variables measuring gender role attitudes (agreement with statements about expected male/female behaviors), self-reported division of household labor and care, occupational role and employment status by gender, role conflict/role strain scales, measures of gender identity related to roles, and relevant demographics (sex, age, education, marital status). Exclude variables that only record sex/gender without any role-related content, and variables unrelated to social roles (e.g. purely biological measures).
59288	geschlechterrollen	Variables reflecting collective and individual-level gender role norms: stereotype endorsement, expectations for men/women, distribution of household tasks, occupational segregation indicators.	Include variables such as agreement with stereotypical statements, reported primary caregiver/household responsibilities, indicators of occupational concentration by gender, measures of normative pressure, and community- or country-level aggregates of role attitudes. Exclude isolated biological health markers or administrative codes that do not inform about roles or norms.
4690	gesundheit	Variables commonly used in health research: morbidity, mortality, diagnoses, self-rated health, health behaviors, biomarkers, utilization and socioeconomic determinants.	Include variables such as ICD/diagnosis codes, self-rated health, chronic condition indicators, prevalence/incidence measures, BMI, blood pressure, smoking/alcohol use, physical activity, health service use (visits, hospitalizations), and socioeconomic covariates. Exclude variables unrelated to health outcomes or determinants.
58542	gesundheit psychisch	Variables measuring psychiatric diagnoses, symptom severity, psychological well-being, suicidality, treatment and service use, and mental-health-relevant covariates.	Include variables such as ICD/DSM diagnoses, scores on PHQ-9, GAD-7, GHQ-12, BDI, WHO-5, psychiatric hospitalization, medication use for mental disorders, measures of stress and resilience, and functional impairment. Exclude variables that do not concern mental health (e.g. general biomarkers without linkage to mental health).
58545	gesundheit patienten	Variables pertaining to patient status, clinical diagnoses, treatment modalities, outcomes, service use, and patient-reported measures.	Include variables like diagnosis codes, treatment type, medication, length of stay, readmission, mortality, clinical outcome measures, PROMs, patient satisfaction, adherence, comorbidities, and socio-demographics of patient groups. Exclude variables unrelated to patient care or outcomes (e.g. organizational finances) and variables from non-patient samples.
58585	gesundheit betrieb	Variables measuring workplace health management, organizational exposures, and aggregated employee health outcomes.	Relevant variables include company-level indicators (presence of health promotion programs, occupational safety policies, number of occupational health staff), aggregated sickness absence rates, work-related injury rates, workplace exposure metrics (noise, chemicals, ergonomics), measures of psychosocial work environment at organizational level (e.g., job demands, control, support), and indicators of program implementation and reach. Exclude variables that measure only individual clinical biomarkers unrelated to work context or demographic-only variables without workplace linkage.
58610	gesundheit im betrieb	Variables capturing individual and contextual measures of health and working conditions within the workplace.	Include individual health outcomes among employees (self-rated health, musculoskeletal complaints, mental health symptoms, sickness absence), workplace exposure variables (physical, chemical, ergonomic, psychosocial), job characteristics (occupation, shift work, working hours), and organizational factors (management practices, safety climate). Exclude variables that do not connect health measures to employment or workplace context.
58700	gesundheit von beschäftigten	Individual health indicators and employment-related variables relevant to the health of workers.	Relevant variables encompass self-rated health, diagnosed conditions, mental health scales (depression, anxiety), musculoskeletal complaints, frequency and duration of sickness absence, presenteeism measures, workplace exposures, job characteristics, occupational class, and health behaviors among employees. Exclude variables that solely measure organizational attributes without linking to employee health outcomes.
58705	gesundheitliche beschwerden	Variables that capture self-reported symptoms, somatic complaints, and psychosomatic indicators.	Include variables for frequency, severity, and duration of specific complaints (musculoskeletal pain, headaches, fatigue, sleep disturbances, gastrointestinal complaints), composite symptom scores, psychosomatic symptom scales, and health-related quality-of-life items tied to complaints. Include variables that record timing and work-related attribution of complaints. Exclude laboratory-only biomarkers that do not reflect patient-reported symptoms.
4600	gewalt	Variables measuring types, frequency, severity, timing, context, and consequences of violent acts and exposures.	Relevant variables include indicators of physical assault, sexual violence, intimate partner violence, child abuse, workplace violence, bullying, hate-motivated incidents, exposure to political/collective violence, PTSD and other health sequelae, injuries resulting from violence, perpetrator relationship, and reporting and service utilization. Include variables on protective factors and prevention exposure. Exclude variables unrelated to violent behavior or exposure.
58858	gewalt jugend	Variables that measure youth-directed or youth-perpetrated violence and related outcomes (victimization, perpetration, frequency, severity, context, and correlates).	Include variables such as self-reported victimization (physical, sexual, emotional), bullying victim/perpetrator indicators, dating violence measures, exposure to domestic violence, number of incidents, severity indicators, location/context of incidents (school, home, online), perpetrator relationship, help-seeking, reporting to authorities, protective factors (e.g., parent supervision), and mental/behavioral health outcomes linked to violence. Exclude variables that are generic criminal counts without age attribution or that measure only non-violent behaviors (unless explicitly linked to violent acts).
60151	global life satisfaction	Variables that operationalize life satisfaction and global subjective well‑being, including single-item and multi-item scales and country-level aggregates.	Include variables for global life satisfaction such as Cantril Self-Anchoring Scale (ladder), single-question life satisfaction items (e.g., 'All things considered, how satisfied are you with your life?'), Satisfaction With Life Scale (SWLS) scores, country-level average life satisfaction indicators, and demographic moderators (age, gender, income, education). Also include variables capturing domain satisfactions contributing to life satisfaction (health, income, social support). Exclude variables that measure only momentary affect without evaluative life satisfaction or purely domain-specific outcomes unlinked to overall life evaluation.
3148	health	Health-related variables capturing status, behaviors, outcomes, determinants, and service use (e.g., self-rated health, chronic conditions, BMI, mental health scores, healthcare utilization).	Include self-rated health measures, diagnosed chronic condition indicators, morbidity and mortality measures, biomarkers (e.g., blood pressure, cholesterol) when linked to population data, mental health screening scores (PHQ-9, GHQ), health behaviors (smoking, alcohol, physical activity), BMI, functional limitations, health insurance status, healthcare utilization metrics, and socioeconomic determinants of health. Exclude purely administrative coding subsets without health-relevant fields or variables only about laboratory assays without linkage to population health outcomes.
383	home office	Variables capturing remote work arrangements and outcomes: telework frequency/intensity, work hours/location, job satisfaction, productivity, work–family conflict, and home workspace characteristics.	Include variables indicating whether respondents work from home, number of days/hours worked at home, employer telework policy, availability of equipment, self-reported productivity, job satisfaction, stress and mental health measures linked to remote work, commuting time saved, work–life balance measures, ergonomic conditions of home workspace, and household composition while teleworking. Exclude variables that only indicate general internet use without relation to work or those that track purely leisure activities at home.
221	immigration	Variables that identify and characterize migrants and migration processes: country of birth, citizenship, migration reason/status, length of residence, legal status, language proficiency, and integration outcomes.	Include variables such as migrant status (immigrant, emigrant, refugee, asylum-seeker), country of birth, citizenship, parental country of birth, year of arrival, length of stay, legal residency status, reason for migration, language skills, education credentials, employment and income, housing, naturalization, social integration indicators, and access to services. Also include remittance behavior and transnational ties when linked to migration. Exclude variables that do not permit identification of migration-related attributes or that only measure temporary travel for tourism.
52895	inequality	Variables that measure or are commonly used to analyze inequality: income, wages, wealth, consumption/expenditure, occupational status, education level, health indicators, household composition, region, race/ethnicity, gender, and derived inequality indices (Gini, Theil).	Include variables capturing individual or household economic resources, demographic attributes, labor market outcomes, educational attainment, health measures, and geographic identifiers that allow subgroup comparisons and inequality decomposition. Also include derived variables and indices explicitly labeled as inequality measures. Exclude variables that do not permit assessment of disparities (single-case identifiers without demographic/contextual attributes) or highly aggregated indicators that prevent subgroup or distributional analysis.
63271	information trust	Variables assessing trust in information and sources: trust scales for media/institutions/experts, perceived credibility ratings, source trustworthiness, exposure to misinformation, fact-checking behavior, and confidence in knowledge.	Include validated items and indices measuring trust in specific information sources (e.g., television news, online news, social media), general media trust, perceived accuracy/credibility of messages, willingness to share, and behavioral proxies (clicks, shares tied to trust judgments). Exclude variables that measure unrelated forms of trust (e.g., generalized social trust) unless they are explicitly linked to information contexts.
63273	information politik	Variables capturing aspects of information policy and politics: legal/regulatory indicators, transparency scores, censorship flags, frequency of information control events, access-to-information metrics, and measures of government communication practices.	Include variables that operationalize policy environments (presence/strength of data protection laws, FOI provisions), measures of censorship or content takedowns, indices of media freedom, counts of state information campaigns, and measures of public access to government information. Exclude purely technical variables describing system performance (latency, throughput) unless linked to political/policy outcomes (e.g., digital infrastructure affecting access to information).
63264	informations- und kommunikationstechnologie	Variables measuring ICT-related phenomena: internet access, device ownership, connection type and speed, frequency and purposes of use, digital skills, online activities (social media, e-commerce, e-government), and barriers to access.	Include variables that record household/individual-level ICT access (broadband, mobile), skills assessments, online engagement measures, location-based infrastructure indicators, and socioeconomic covariates enabling analysis of the digital divide. Exclude technical-only metrics (packet loss, port numbers) that do not inform social research on ICT adoption or effects.
5945	interesse für politik	Variables measuring political interest and attentiveness: self-reported interest in politics, frequency of following news/politics, attention to public affairs, political discussion frequency, and indices of political engagement.	Include single-item and multi-item measures where respondents report their level of interest in politics, how often they follow political news, and related behaviors (discussing politics, civic participation). Also include derived scales combining related items. Exclude variables that only measure political knowledge tests without attitudinal indicators unless paired with explicit interest measures.
62692	interesse an führung	Variables that operationalize interest in leadership: leadership aspiration, desire to be a manager, willingness to lead, promotion intent, leadership career intentions, and related constructs (leadership motivation).	Include single-item and multi-item scales that explicitly ask about wanting to lead, seeking managerial positions, or choosing leadership responsibilities. Include demographic moderators (age, gender, tenure) when paired with leadership interest variables. Exclude variables that only measure leadership behaviors, efficacy, or style without assessing interest/aspiration.
15911	motivation in der arbeit 	Variables measuring work motivation and related constructs: intrinsic motivation, extrinsic motivation, work engagement, motivation regulation, goals at work, task significance, autonomy, and motivational outcomes (effort, persistence, turnover intention).	Include validated scales (e.g., UWES, Work Extrinsic and Intrinsic Motivation Scale) and survey items that explicitly assess motivational orientation or intensity at work. Include job characteristics known to affect motivation (autonomy, task variety) when linked to motivation measures. Exclude variables that only capture general attitudes toward work without assessing motivational constructs.
15758	job satisfaction	Variables that quantify job satisfaction: overall job satisfaction scores, facet scales (pay, supervision, coworkers, work itself), single-item satisfaction indicators, and related wellbeing measures tied to job satisfaction.	Include both global and domain-specific job satisfaction variables and their subscales. Include demographic and occupational covariates when analyzed in relation to job satisfaction. Exclude variables that only measure job performance or engagement if job satisfaction is not included.
15423	jugendliche	Variables relevant to adolescents: age-specific indicators (grade, pubertal stage), education status, mental health measures (depression, anxiety), risk behaviors (substance use, delinquency), family background, peer relations, and transition markers (vocational training, school-to-work).	Include variables that directly measure adolescent experiences, developmental status, health and behavior. Include validated measures used with youth (e.g., SDQ). Exclude adult-only measures or variables not applicable to adolescent contexts (e.g., retirement status).
17369	kinder und jugendliche	Variables pertinent to children and adolescents: developmental milestones, cognitive and socio-emotional measures, physical health indicators, vaccination and growth data, schooling and attainment, child welfare indicators, and family socioeconomic variables.	Include variables valid for child and adolescent assessment (e.g., CBCL, developmental screening scores, school performance, family structure). Include age-appropriate health and behavior measures. Exclude adult-only indicators (employment status for older adults, retirement) and measures not applicable to minors.
6322	klima	Variables that measure climatic conditions, drivers, impacts, and public responses: temperature, precipitation, humidity, CO2/CH4 concentrations, sea level, extreme event indices, vulnerability indicators, adaptation measures, climate risk perceptions.	Relevant variables include quantitative meteorological measures (daily/monthly/annual temperature, precipitation, drought indices), greenhouse gas concentrations, derived indices (heatwaves, cold spells, extreme precipitation), and socio-economic variables tied to climate impacts (crop yield losses, health outcomes). Also include attitudinal variables about climate concern and policy support. Exclude variables that use 'climate' only as a metaphor (e.g., corporate climate) unless clearly environmental.
6370	klimawandel	Variables that capture change and responses: trends in temperature and extreme events, emission rates, radiative forcing, vulnerability/adaptation indicators, mitigation behaviors, belief in anthropogenic climate change, policy support measures.	Relevant variables measure temporal changes (e.g., decadal temperature trend), frequency/intensity of extremes, CO2 emissions per capita, indicators of adaptive capacity, and attitudinal measures about climate change causes and policy preferences. Exclude static environmental descriptors that do not relate to change unless used to assess change or vulnerability.
13621	kultur	Variables capturing cultural aspects: participation frequencies, cultural capital indicators, language use, ethnic and cultural identity, values and norms measures, attendance at cultural events, funding/support levels for arts and heritage.	Relevant variables include measures of cultural participation (visits per year), self-reported cultural identity, proficiency/use of languages, indicators of cultural capital (education, tastes), attitudes toward cultural diversity, and institutional measures (number of cultural organizations, funding amounts). Exclude laboratory culture measures and variables unrelated to social/cultural phenomena.
21558	lernen am arbeit	Variables measuring workplace learning: participation in training (type, duration), informal learning activities, mentoring received, skill acquisition measures, training costs, employer support, learning outcomes (skill tests, wages, promotion), and workplace learning culture indicators.	Relevant variables capture occurrence and intensity of on-the-job training, certification achieved, frequency of informal learning, employer-provided training hours, individual learning strategies, and outcomes such as productivity or career progression. Exclude variables that measure non-learning aspects of work unless used to analyze learning processes (e.g., job tenure only used to study learning opportunities).
21877	links rechts orientierung	Variables that operationalize left-right orientation: self-placement on left-right scales, composite ideological scores (economic/social dimensions), party identification mapped to left-right, issue-based scales aggregated into left-right orientation, and extremes/moderation indicators.	Relevant variables include 0–10 or 1–7 left-right self-placement items, factor scores from issue items representing left-right dimension, categorical left/center/right labels, and consistency measures between self-placement and policy attitudes. Exclude variables measuring non-ideological left/right concepts (body orientation, handedness).
4835	media	Variables that measure media exposure, consumption, content, engagement, trust, source credibility, platform use, frequency, duration, and media effects (attitudes, knowledge, behavior).	Include variable names and descriptions that capture types of media used (TV, radio, print, online, social media platforms), frequency and duration of media use, intensity of engagement (likes, shares, comments), content categories (news, entertainment, political content), trust in media, perceived bias, source credibility, exposure to specific messages or campaigns, and measures of media effects (knowledge change, attitude change, behavioral intentions). Exclude variables that use the word 'media' in non-communication senses (e.g., culture media in labs) or variables that are too generic without a clear relation to media use or content (e.g., a variable named 'channel' without context).
22227	merkmale der arbeit	Variables describing job characteristics such as autonomy, task complexity, workload, hours, contract type, physical demands, psychosocial risks, role clarity, and training requirements.	Relevant variables explicitly measure attributes of work: job autonomy/control, decision latitude, task variety, repetitiveness, physical workload, exposure to hazards, psychosocial stressors (job demands, social support), working time arrangements (shift work, part-time), contract permanence, overemployment/underemployment, training/skill requirements, and indices of job quality. Include variables coded at worker or job level. Exclude variables that only indicate employment/unemployment status without detailing work characteristics.
427	migration	Variables capturing migration status and characteristics: country/region of birth and residence, migration history, legal status, reason for migration, duration, language proficiency, integration indicators, remittances, and mobility patterns.	Relevant variables include migrant origin and destination, date/year of migration, duration of stay, citizenship and legal/permit status, refugee/asylum status, reason for migration (economic, family, conflict), return intentions, language skills, employment status and occupational mobility, social integration measures, remittance sending/receiving, and household composition changes because of migration. Exclude variables named 'migration' that refer to cell or animal movement in biological studies.
18263	mitarbeiter	Variables describing employees: demographic and employment attributes, job tenure, contract type, wages, performance measures, satisfaction, absenteeism, turnover intentions, training participation, and workplace relations.	Relevant variables explicitly measure characteristics of employees: employee ID, age, gender, education, occupation, tenure, contract type (permanent/temporary), salary/wage, working hours, job grade, promotion history, performance ratings, job satisfaction, organizational commitment, intention to leave, absenteeism, participation in training, and supervisory relationships. Exclude variables where 'mitarbeiter' appears as an author or contributor label but not as an employee characteristic.
20775	mobilität	Variables measuring mobility: travel frequency, trip distance and duration, mode of transport, commuting time, origin and destination, mobility constraints, accessibility indices, and indicators of social/mobile career mobility.	Relevant variables include number of trips, trip purpose, mode choice (car, bike, public transport, walking), travel time and distance, frequency of travel, commuting patterns, car ownership, access to transport, mobility limitations, accessibility scores, intergenerational occupation/income mobility measures, and modal shift indicators. Exclude variables that use 'mobility' in purely biological or physical senses unrelated to human movement or social mobility unless clearly contextualized.
20969	motivation and mitarbeiter	Variables capturing employee motivation and related workplace constructs (intrinsic/extrinsic motivation, engagement, satisfaction, commitment, turnover intention).	Include variables representing validated motivational constructs (e.g., intrinsic/extrinsic motivation scores, work engagement subscales, job satisfaction indices, organizational commitment, motivation-related predictors like leadership style, rewards, autonomy) and key covariates (role, tenure, occupation, industry). Exclude variables unrelated to workplace motivation (e.g., general cognitive tests) unless explicitly analyzed as predictors of employee motivation.
21258	motivation und lernen	Variables representing motivation in learning contexts: intrinsic/extrinsic motivation, goal orientation, task value, self-regulation, and learning outcomes.	Include variables such as intrinsic/extrinsic motivation scores, achievement goals, task value, self-efficacy for learning, study strategies, persistence, time on task, course completion, and assessment scores. Include demographic and contextual covariates (age, educational level, instructional format). Exclude variables unrelated to learning motivation (e.g., general workplace engagement) unless linked to training/learning outcomes.
21259	motivation und interesse	Variables capturing personal and situational interest and related motivational constructs (engagement, persistence, value, curiosity).	Include variables for personal interest, situational interest, curiosity, task value, intrinsic/extrinsic motivation, engagement, time on task, and persistence. Include contextual moderators (topic domain, learning environment). Exclude unrelated variables (e.g., financial interest metrics) unless clearly operationalized as psychological interest.
7965	nutzung medien	Variables describing media use behavior: frequency, duration, platform type, device, purpose, multitasking, and media content categories.	Include variables such as daily/weekly hours spent on specific media, number of sessions, platform identifiers (TV, radio, social media, streaming services), device used, purposes (news, social contact, entertainment), measures of multitasking, and related demographic covariates. Exclude variables that refer only to technical content delivery parameters (bandwidth, packet loss) unless tied to user consumption patterns.
6939	online sport	Variables capturing online sport participation and outcomes: usage frequency, session duration, physical activity metrics, performance stats, adherence, and engagement indicators.	Include variables such as number of online workouts, minutes of activity per session, step counts/heart rate from wearables during online sessions, e-sports performance indicators (scores, rankings), attendance of live classes, user engagement measures (comments, likes), and self-reported fitness outcomes. Include demographics and device/platform identifiers. Exclude variables that do not differentiate online from offline sport activity.
7159	orientierung beruf	Variables capturing vocational interests, occupational intentions, career decision-making, guidance received and transition outcomes.	Relevant variables measure career aspiration, preferred occupation, RIASEC codes or interest inventories, vocational guidance attendance, counseling outcomes, career decision self-efficacy, perceived fit, reasons for occupational choice, apprenticeship enrollment, time to employment after education. Include variables coded for analysis (scales, indices, categorical occupational choices). Exclude generic employment variables with no information on orientation or preferences, and variables referring to other kinds of 'orientation' (e.g., geographic orientation).
11910	persönlichkeit	Variables operationalizing personality traits, facets, temperament, and related scales or indices.	Include variables representing Big Five domains and facets, personality disorder scales where applicable, temperament dimensions, composite personality indices, item-level responses for personality questionnaires, and reliability/scale information. Include coding for reverse-scored items and normative tables if available. Exclude variables that do not measure personality (e.g., single impressions or interviewer assessments that are not validated personality measures) or broad demographic descriptors mislabeled as 'personality.'
1168	political participation	Variables capturing types and frequencies of political participation, intensity, and forms of civic engagement.	Relevant variables include voter turnout, intention to vote, protest attendance, petition signing, contacting public officials, party/campaign volunteering, political donations, membership in political organizations, frequency of civic actions, and composite participation indices. Include variables that distinguish conventional vs. unconventional and offline vs. online participation. Exclude generic social participation variables without a political dimension (e.g., sports club membership) unless explicitly coded as political/civic.
439	political efficacy	Variables measuring internal/external political efficacy, perceptions of political influence and institutional responsiveness.	Include variables for internal efficacy (e.g., 'I consider myself well-qualified to participate in politics'), external efficacy (e.g., 'People like me have no say in what the government does'), composite efficacy indices, item-level responses, and coding for directionality and scale. Include information on reverse-coded items and reliability. Exclude variables measuring general self-efficacy, efficacy in non-political domains, or attitudinal items not interpretable as efficacy.
8932	political survey	Variables commonly collected in political surveys: party identification, ideology, voting behavior, policy attitudes and demographic controls.	Include variables for vote choice, past turnout, voting intention, party identification, left-right self-placement, policy preferences, trust in institutions, political interest, media exposure, and standard demographics used in political analysis. Include question wording variants, coding schemes and weights. Exclude variables unrelated to political analysis (e.g., purely behavioral consumer preferences) unless included as covariates in political studies.
10109	politik	Variables used to measure political phenomena: institutional identifiers (party, legislature), political attitudes (trust, ideology, satisfaction), behavior (turnout, protest participation), socio-political demographics, policy preferences, political knowledge and media exposure indicators.	Relevant variables directly measure political concepts (party ID, vote choice, left–right self-placement, political trust, trust in institutions, turnout, protest participation, policy position items, political knowledge items). Include clearly labeled variable names and detailed coding schemes. Exclude variables whose relation to politics is ambiguous or marginal (e.g., generic income or occupation variables without connection to political analysis) unless accompanied by metadata showing political use.
9547	politik politisches verhalten	Variables that operationalize political behavior: turnout (actual or intended), vote choice, voter registration, protest participation, membership in political organizations, campaign activity, petition signing, online political activity and civic volunteering.	Relevant variables explicitly measure actions (e.g., 'voted in last election', 'intention to vote', 'participated in demonstration', 'contacted politician', 'donated to campaign'). Include variables with clear temporal reference and coding. Exclude indirect proxies for behavior (e.g., general civic attitudes) unless paired with concrete behavioral items or validated behavioral indicators.
10059	politische bildung	Variables capturing civic/political education constructs: civic knowledge scores, civic skills (discussion, argumentation), civic attitudes (support for democracy, tolerance), classroom activities, frequency of civics instruction, teacher qualifications, and participation in civic programs.	Relevant variables explicitly measure learning outcomes or educational inputs in political education (e.g., 'civic knowledge test score', 'frequency of classroom discussion on politics', 'teacher received civic training'). Include coding schemes and item wording. Exclude general academic achievement variables unless disaggregated to civic content or tied to civic learning measures.
10402	politische rechts links	Variables operationalizing left–right ideology: self-placement scales, ideological distance to parties, party family identifiers, economic/cultural position items, and constructed left–right indices.	Include variables that directly measure ideological orientation (e.g., 'left_right_placement', 'ideological_distance_to_party'), with coding and value labels. Include separate variables capturing economic vs cultural dimensions when available. Exclude vague or indirect proxies for ideology (e.g., single policy preference without context) unless part of an established left–right index.
10407	politische kompetenz	Variables representing political competence: factual political knowledge scores, civic skills indicators, political efficacy, critical thinking in political contexts, problem-solving in civic scenarios, and composite civic competence indices.	Relevant variables explicitly quantify components of political competence (e.g., 'political_knowledge_score', 'civic_efficacy_scale', 'argumentation_skill_item'). Include variables with clear provenance and scoring instructions. Exclude variables that measure unrelated competencies (e.g., general literacy or numeracy) unless linked and validated as part of a civic competence construct.
10701	politische orientierung	Variable records that capture measures of political orientation such as left–right scale, self-reported ideology, party identification, and directional/valence ideological indicators.	Relevant variables are those that measure respondents' ideological self-placement (numeric left–right scales, categorical ideology labels), partisan attachment, or items operationalizing orientation (e.g., 'Where would you place yourself on a scale from 1–10?'). Include derived variables (e.g., recoded left/center/right) and contextual variables linking orientation to voting behavior. Exclude variables unrelated to personal ideological placement (e.g., geographic orientation, issue-specific policy preferences unless explicitly used to construct an orientation index).
2386	politische einstellung	Variables representing political attitude items and scales: trust in institutions, support for democracy, policy-specific opinions, and composite attitude indices.	Relevant variables are individual survey items and constructed scales that measure political attitudes, including question wording, response coding, and provenance. Include attitudinal indices aggregated from multiple items and items capturing intensity and direction of opinions. Exclude socio-demographic variables unless they are used as part of an attitude composite or directly measure political opinions.
565	politische partizipation	Variables that measure types and frequency of political participation: turnout, protest participation, petition signing, membership in political organizations, and online engagement indicators.	Relevant variables capture participation behavior and related motivations (e.g., frequency of protest attendance, past voting in specified elections, membership in civic groups, online political posting). Include variables measuring barriers to participation and mobilization exposure. Exclude variables solely about political attitudes unless they are used as predictors or correlates of participation and are documented as such.
6591	politische ideologien	Variables representing ideological placement, multidimensional ideology scales, issue-based ideology indices, and coded indicators of ideological content from texts or manifestos.	Relevant variables include left–right placement, authoritarian–libertarian scales, constructed ideology indices from issue items, and coded manifesto indicators (e.g., economic or cultural ideology scores). Include metadata on construction and scoring. Exclude vague or incidental mentions of ideology not operationalized as a measurable variable.
8373	politische werte	Variables capturing political values: support for democracy, tolerance, equality preferences, authority orientation, and composite value scales (e.g., civic virtue indices).	Relevant variables are survey items and constructed indices representing political values, including question wording, response coding, and scale construction details. Include variables derived from standard value batteries (e.g., Schwartz, Inglehart) when linked to political outcomes. Exclude socio-demographic or factual knowledge variables unless explicitly used to measure political values.
8931	politische einstellung övp spö	Variable fields capturing party preference, favourability, vote intention, sympathy, trust, and evaluations specifically for ÖVP and SPÖ.	Relevant variables are those labelled or coded to represent respondents' support, vote choice, likelihood to vote, affective ratings, trust or satisfaction with ÖVP and/or SPÖ. Include numeric and categorical variables (party closeness, feeling thermometer, vote intention, retrospective vote) and panel-derived change measures. Exclude generic ideological variables (left–right) unless they are explicitly linked to measured attitudes toward ÖVP or SPÖ.
1112	politisches interesse	Variables that measure personal interest in politics: interest intensity, frequency of following politics, attention to political news, and composite interest scales.	Relevant variables include single-item measures (e.g., 'How interested are you in politics?'), frequency measures ('How often do you follow political news?'), scale scores combining several items, and items differentiating types of political interest (local, national, policy-specific). Exclude variables with ambiguous labels that do not clearly measure individual political interest (e.g., general curiosity) or variables that measure institutional interest (organizational lobbying).
