qid	query	pub_desc	pub_narr
69762	evaluation soziale arbeit	Publications on evaluation in social work (Evaluation Soziale Arbeit): program evaluation, outcome assessment, methods and best practices specific to social work practice and services, including German-language literature.	Include empirical evaluations of social work programs, methodological papers on evaluation design in social work, case studies, systematic reviews and theoretical contributions on measuring social work outcomes. Focus on works that address evaluation frameworks, indicators of client well‑being, fidelity, implementation, and effectiveness within social work contexts. Exclude generic program-evaluation literature with no application to social work or documents that only mention social work tangentially.
69276	external political efficacy	Publications examining external political efficacy: conceptualization, measurement, determinants, consequences for political behaviour, and cross-national comparisons.	Include theoretical and empirical studies that define and measure external political efficacy (the belief that political institutions and actors are responsive to citizens), its antecedents (trust, representation, media, socioeconomic status), and outcomes (participation, protest, policy support). Include scale development/validation papers and comparative research using national or cross-national survey data. Exclude works that only discuss internal efficacy or general political efficacy without separate treatment of external efficacy.
69667	familie beruf	Studies and reports on family–work interactions, work–family conflict, parental employment, reconciliation policies, and employment patterns among parents.	Include publications (articles, books, reports, policy papers) that examine how family responsibilities and employment interact: parental employment trajectories, part‑time vs full‑time work, maternity/paternity leave, childcare use and access, flexible working arrangements, work–family conflict, employer practices affecting families, and cross‑national comparisons of family‑friendly labour policies. Include empirical studies, longitudinal analyses, and policy evaluations. Exclude works focused solely on unrelated labour market topics (e.g., unemployment without family context), purely clinical family therapy, or biological/fertility studies that do not address employment or reconciliation of work and family.
69687	familie karriere	Research on the interplay between family life and career development: career trajectories of parents, gendered career outcomes, childcare effects on career progression, and organizational career policies.	Include publications that investigate how family formation, parenthood, and caregiving influence career paths, promotion chances, occupational mobility, earnings trajectories, and career interruptions. Also include employer and policy analyses addressing career support (mentoring, flexible schedules, parental leave impact on careers). Prioritize empirical longitudinal research, qualitative career histories, and comparative studies of career outcomes by family status. Exclude literature solely about family therapy, fertility biology, or career studies that do not consider family or caregiving factors.
52915	family and changing gender roles	Scholarly works on transformations in gender roles within families: changing division of labour, parental roles, gender role attitudes, and implications for family structure and policy.	Include publications that analyze shifts in gender norms and practices inside households: trends in fathers' involvement in childcare, women's labour market participation, negotiation of household tasks, couple dynamics, intergenerational changes in gender attitudes, and policy effects on gender role change. Include quantitative trend analyses, qualitative ethnographies, cross‑national comparisons, and theoretical work on gender and family change. Exclude studies that treat gender only biologically or that focus exclusively on non‑family institutional gender dynamics without linking to family life.
67689	family	Broad literature on family: family structure, life course transitions, parenting, households, kinship, intergenerational relations, family policy, and demographic trends.	Include publications covering empirical and theoretical research on families and households: marriage/cohabitation, divorce/separation, fertility and childbearing, parenting practices, intergenerational support, household composition, kin networks, demographic change, family policy, and socioeconomic determinants of family outcomes. Include cross‑disciplinary work (sociology, demography, social policy, psychology) and both quantitative and qualitative studies. Exclude works that use 'family' only metaphorically or unrelated technical uses (e.g., mathematical families) and clinical case reports not addressing broader family processes.
67775	family and gender	Research at the intersection of family and gender: gendered family roles, parenting practices, division of labour, gender inequalities within households, and gendered effects of family policy.	Include empirical and theoretical publications exploring how gender shapes family life and how family contexts shape gender relations: studies on maternal and paternal roles, gender gaps in earnings and care, negotiation of household tasks, gendered impacts of parenthood, intersectionality (race/class) in family gender dynamics, and evaluations of policies affecting gender equality in families. Prioritize works that explicitly analyze both family and gender dimensions. Exclude research addressing gender in non‑family institutions only, or family studies that ignore gendered processes.
68742	form of employment	Scholarly and policy publications that define, measure, compare or evaluate types of employment contracts and work arrangements (e.g., full-time, part-time, temporary/fixed-term, permanent, self-employed, gig work, on-call, zero-hours, agency work, telework). Includes comparative, historical, legal, labor-economics, and social policy studies addressing causes, consequences and measurement issues of different employment forms.	Relevant publications: empirical articles, reviews and reports that explicitly focus on the classification, prevalence, determinants or outcomes of distinct forms of employment; papers that use international or national definitional frameworks (ILO, EU) or propose typologies of employment. Include studies of working hours, contract type, job tenure, precarious work and gig economy that report operational definitions. Exclude works that use 'form' in unrelated senses (e.g., corporate legal form, organizational form unrelated to individual employment contracts), publications solely about macroeconomic indicators without disaggregating employment types, or papers that only nominally mention employment form without measures or definitions.
61134	führung und vertrauen	German-language and bilingual publications on the relationship between leadership (Führung) and trust (Vertrauen) in organizations and groups: theoretical work and empirical studies examining trust in leaders, leader behaviors that foster trust, leader–member exchange, and organizational trust dynamics.	Relevant publications: empirical articles, German-language dissertations, book chapters and reports that explicitly study how leadership affects trust (trust in managers, trust in leadership), or how trust shapes leadership effectiveness; includes studies using German samples or German-language measures. Include cross-cultural comparisons where leadership and trust constructs are central. Exclude works where 'Führung' refers to guided tours, instructions, or generic steering unrelated to leadership in social/organizational contexts, or publications that mention trust only tangentially.
61312	führung	Publications on leadership (Führung) in organizations, teams and political or social movements: theories of leadership, leadership styles (transformational, transactional, servant, authoritarian), leadership effectiveness, leadership development, and cross-cultural leadership studies. Includes German-language and international literature.	Relevant publications: empirical studies, theoretical papers, reviews and practitioner reports that focus on leadership concepts, measurement, antecedents and outcomes at individual, team and organizational levels. Include work on leader traits, behaviors, situational leadership, leadership development programs and leadership assessment. Exclude uses of 'Führung' that refer to tours/guided visits, simple instructions, or non-social leadership contexts (e.g., device controls) that are unrelated to social influence or managerial roles.
2541	gender role	Publications about gender roles and gender-role attitudes: theoretical and empirical studies on beliefs about appropriate behaviors, responsibilities and identities for genders; research on role socialization, division of labor, family roles, occupational gender norms and changes over time.	Relevant publications: papers, books and reports that measure, analyze or theorize gender role attitudes/identities (e.g., traditional vs. egalitarian role beliefs), their determinants and consequences. Include cross-national comparisons, longitudinal trend analyses and research using attitude scales. Exclude studies solely about biological sex differences without reference to socially prescribed roles, or uses of 'role' in contexts unrelated to gender norms.
3938	gender	Publications addressing gender as a social and identity category: studies of gender identity, gender expression, gendered inequalities (labor market, health, politics), gender theory, and intersectional analyses of gender with class, race, sexuality and age.	Relevant publications: empirical and theoretical works that explicitly engage with 'gender' as distinct from biological sex, including research on gender identity, norms, discrimination, policy impacts, and measurement issues. Include studies using gender-disaggregated data or gender-focused qualitative research. Exclude papers that use 'gender' interchangeably with 'sex' without conceptual clarity, or works that do not treat gender as an analytical focus.
61636	gender studies	Scholarly publications addressing the study of gender as a social, cultural, political and historical category, including feminist theory, masculinity studies, queer studies and intersectional analyses.	Include: peer‑reviewed articles, books, book chapters, review articles and conference papers that explicitly focus on gender (social constructions of sex, gender identities, gender inequality, gender policy, intersectionality). Relevant geographic or historical case studies are in scope. Exclude: purely biomedical or genetic studies of biological sex differences that do not treat gender as a social construct; popular media pieces, opinion blogs, and non‑scholarly content unless published in an academic venue.
62134	general self-efficacy	Academic literature on the concept of general self‑efficacy: theoretical foundations, psychometric evaluations, applications and correlational/causal studies across populations.	Include: empirical studies, theoretical articles, literature reviews and meta‑analyses that explicitly discuss general self‑efficacy as a construct (e.g., Schwarzer & Jerusalem), its measurement, validity, cross‑cultural adaptations and links to outcomes (health, education, work). Exclude: studies that only address domain‑specific self‑efficacy (e.g., academic, sporting) unless they also include or compare a general self‑efficacy measure.
2575	generation y	Research publications about Generation Y (Millennials): demographic, social, occupational, cultural and attitudinal studies that identify or analyze this birth cohort.	Include: empirical and theoretical works that explicitly focus on or identify Generation Y / Millennials (commonly born roughly 1980s–mid/late 1990s), covering topics such as labour market behavior, political attitudes, family formation, consumption, technology use and cohort comparisons. Exclude: generic youth studies without cohort specification and studies using different cohort labels unless they clearly overlap and map to Generation Y by birth years.
1423	generelle selbstwirksamkeit	German and international publications on general self‑efficacy (generelle Selbstwirksamkeit), covering theory, measurement, validation and applied research.	Include: German‑language and translated studies that explicitly treat 'generelle Selbstwirksamkeit' or the General Self‑Efficacy construct (e.g., Schwarzer & Jerusalem German version), psychometric evaluations, and applied research linking it to outcomes. Exclude: publications dealing only with context‑specific Selbstwirksamkeit (e.g., schulische Selbstwirksamkeit) unless they also address the general construct.
61544	geschlecht und geschlechterrollen	Scholarly works on sex/gender and gender roles (geschlecht und Geschlechterrollen), including studies of role expectations, socialization, division of labour and normative gender behaviour.	Include: empirical and theoretical literature on gender roles, role socialization, attitudes toward gendered divisions of work, masculinity/femininity constructs, and policy studies addressing role norms. Both German and international publications are relevant where they explicitly address gender roles. Exclude: studies focused solely on biological sex without addressing roles or norms.
61473	geschlechter rolle	Publications that address gender roles and the social expectations, behaviors and responsibilities associated with gender. Includes empirical articles, theoretical papers, books and reports on gender role attitudes, socialization, division of labor, family roles, workplace roles and intersections with health, education, and policy.	Include publications in German or other languages that explicitly study 'gender role' (singular) as a social construct: empirical studies measuring role endorsement, theoretical treatments of role concepts, historical or comparative analyses of gender role formation, and applied research linking gender role expectations to outcomes (health, employment, family life, identity). Include qualitative and quantitative work as well as policy reports. Exclude works that use the word 'role' in non-gender contexts (e.g. job role descriptions without reference to gender), purely biological sex-differences research that does not address social roles, and materials where 'role' appears only tangentially.
59288	geschlechterrollen	Publications on gender roles (plural), including research on stereotypes, normative expectations, role changes over time, cross-cultural comparisons, and the effects of gender roles on social outcomes.	Include empirical studies, reviews, comparative and historical analyses, policy papers and qualitative research that explicitly investigate 'gender roles' as social norms, stereotypes, or patterns of behavior across contexts (family, work, education). Include cross-national comparisons and trend analyses of changing gender roles. Exclude publications that use the term in passing without substantive analysis, studies focused solely on biological sex differences without social role discussion, and irrelevant disciplinary uses of 'roles' (e.g. system roles in IT).
4690	gesundheit	Publications covering health in broad sense: public health, epidemiology, health services, clinical studies, health policy, health behavior, and population health analyses.	Include empirical studies, reviews, clinical reports, health policy analyses and books that focus on physical or population health, disease burden, prevention, health promotion, health care delivery and determinants of health. Include studies at individual and population levels, in German and other languages. Exclude non-health uses of 'gesundheit' (colloquial exclamation) and publications in unrelated domains (e.g. veterinary health unless explicitly about human health when relevant).
58542	gesundheit psychisch	Publications on mental health and psychological wellbeing, including epidemiology of mental disorders, clinical psychiatry, psychotherapy research, public mental health, and studies of stress, wellbeing and mental health services.	Include empirical and review articles, clinical reports, policy analyses and books that address mental health outcomes (depression, anxiety, stress, well-being), mental health services, determinants and interventions, and population-level mental health trends. Include both clinical and community-focused research. Exclude publications that deal solely with neurological disorders without psychiatric/psychological relevance or that mention 'psychisch' only peripherally.
58545	gesundheit patienten	Publications focusing on patient health, patient populations, patient experiences, clinical outcomes, patient safety, and health care delivery for patients.	Include empirical studies, clinical reports, qualitative research and reviews that explicitly study patients: disease-specific patient cohorts, patient-reported outcomes, studies of patient pathways, care quality, satisfaction, adherence, and health outcomes in clinical populations. Exclude publications about general population health without a focus on patients or those that use 'patient' metaphorically.
58585	gesundheit betrieb	Publications on workplace-based health, occupational health management, and company-level health promotion and prevention measures.	Relevant publications address health promotion, occupational safety and health (OSH) programs, workplace health policies, company-level interventions, organizational determinants of employee health, return-to-work programs, occupational health services, and evaluations of health promotion at the enterprise level. Include empirical studies, reviews, program descriptions, policy analyses, and economic evaluations focused on businesses, firms, factories, schools or other workplaces. Exclude publications limited to individual clinical care outside the workplace, general population health without connection to workplaces, purely clinical disease biology unrelated to occupational context, or publications solely about health care institutions unless framed as workplace health for staff.
58610	gesundheit im betrieb	Literature on health within the workplace: employee health status, working conditions, and in-company health interventions.	Include research on how work environment, organizational practices, and occupational exposures affect health of employees; studies evaluating workplace interventions (ergonomics, mental health programs, workplace wellness); surveillance reports of work-related illnesses and injuries; and qualitative work on employee perceptions of health at work. Exclude literature that discusses health in non-workplace contexts only, primary clinical research without workplace linkage, or studies of health systems not addressing workplace staff or conditions.
58700	gesundheit von beschäftigten	Studies and reports on the health of employees and other employed persons across occupations and sectors.	Include empirical research, reviews, surveillance reports, and policy analyses that focus on the physical, mental, and social health of workers. Topics include prevalence and determinants of work-related diseases, mental health among employees, absenteeism and presenteeism, occupational morbidity and mortality, and subgroup analyses by occupation, industry, gender, age. Exclude research on non-employed populations, clinical studies not addressing employment-related factors, or studies about employers' finances without health focus.
58705	gesundheitliche beschwerden	Publications on health complaints and symptom reports, including somatic and psychosomatic symptoms in working populations.	Include studies documenting prevalence, determinants, and consequences of self-reported health complaints (e.g., pain, fatigue, headaches, gastrointestinal symptoms, sleep problems), work-related symptom clusters, and clinical or survey-based assessments of symptom burden. Include research on reporting patterns, occupational antecedents of complaints, and intervention studies reducing symptom prevalence. Exclude purely diagnostic clinical case reports without relevance to population-level complaints, studies of laboratory biomarkers without symptom correlation, or publications focused only on major disease diagnoses unless symptoms are central.
4600	gewalt	Publications on violence in its various forms: interpersonal, domestic, workplace, sexual, political, and community violence.	Include empirical studies, reviews, policy analyses, and program evaluations addressing causes, prevalence, risk factors, consequences, prevention, and intervention related to physical, sexual, psychological, and structural violence. Cover settings such as homes, schools, workplaces, public spaces, conflict zones, and institutions. Include studies on self-reported victimization, perpetration, bystander behavior, and service responses. Exclude literature solely on criminal procedure without health/social outcomes, animal violence not framed in human social research, or purely theoretical treatments with no empirical or applied focus unless they inform measurement or intervention.
58858	gewalt jugend	Publications addressing violence involving children and adolescents (victimization, perpetration, exposure) across contexts such as family, school, peers, community, and online.	Include empirical articles, reviews, policy reports and book chapters that focus on physical, sexual, psychological, or relational violence where at least one party is a child or adolescent (typically ages ~0–19). Relevant topics: youth perpetration, youth victimization, exposure to domestic or community violence, bullying/cyberbullying, dating violence among adolescents, and prevention/intervention programs targeted at young people. Include studies from criminology, psychology, public health, education and social work. Exclude works that primarily address adult-only samples, large-scale armed conflict or terrorism when youth are not the primary focus, non-violent delinquency without a violence component, and purely theoretical pieces with no empirical or applied focus on youth.
60151	global life satisfaction	Publications examining cross-national or global measures and comparisons of life satisfaction and subjective well‑being across populations and countries.	Include empirical studies, comparative analyses, methodological papers, and reports that use or critique global measures of life satisfaction (e.g., Cantril ladder, single-item life satisfaction questions, SWLS) to compare countries, regions or population subgroups. Relevant topics: trends over time, determinants of national life satisfaction, happiness economics, cross-cultural measurement invariance, and policy implications. Exclude studies only focused on narrow clinical populations without broader subjective well‑being context, or purely theoretical discussions that do not engage with cross-national measurement or data.
3148	health	Publications on health from a social-science and public-health perspective, including physical and mental health, health behaviors, healthcare access, and health determinants and outcomes.	Include empirical studies, reviews, policy analyses, and public health reports addressing population health, disease burden, health inequalities, health behaviors (smoking, diet, exercise), mental health, healthcare utilization and access, health policy, and social determinants of health. Studies may be cross-sectional, longitudinal or intervention evaluations. Exclude purely molecular, cellular or bench-lab biomedical research that does not engage with population- or social-level health questions, veterinary health, or highly specialized clinical case reports lacking broader public-health relevance.
383	home office	Publications on working from home / telework / remote work, focusing on effects for employees, organizations, work–life balance, productivity, ergonomics, and policy.	Include empirical studies, literature reviews, case studies and policy analyses that examine home-based work arrangements (telework, remote work, work-from-home), their prevalence, determinants, effects on job performance, well-being, work–family conflict, organizational practices, digitalization, and occupational health/ergonomics. Include research on telework during COVID-19 and comparative analyses across sectors. Exclude publications solely about setting up home office furniture sales/retail, purely technical IT infrastructure guides without social or organizational analysis, or non-work-related home-office aesthetics.
221	immigration	Publications on immigration and migrants, covering migration flows, integration, policy, socioeconomic outcomes, health, and legal status.	Include empirical studies, reviews, policy analyses and theoretical works that address international migration, immigrant integration and assimilation, labor market outcomes of immigrants, refugee/asylum issues, migration policy and laws, remittances, transnationalism, and migrant health and education. Relevant disciplines: sociology, demography, economics, political science, public health and law. Exclude studies exclusively about internal migration (unless relevant), tourism travel statistics not related to migration, and purely historical migration narratives with no contemporary analytical relevance unless explicitly comparative.
52895	inequality	Publications addressing social, economic, health, educational, gender, racial, and spatial inequalities, including theoretical analyses, empirical studies, reviews, and policy discussions.	Relevant publications examine inequality as a primary topic or present substantial empirical or theoretical treatment of disparities (income, wealth, poverty, labor market, health, education, gender, race/ethnicity, regional/urban-rural). Include comparative, cross-national, longitudinal, and case studies, and works that discuss causes, consequences, measurement, and policy responses. Exclude works where 'inequality' is only mentioned tangentially or used metaphorically without substantive analysis (e.g., brief mentions in unrelated topics), and exclude purely methodological papers with no application to social/economic disparities unless they introduce widely used measures of inequality (e.g., Gini) and discuss interpretation.
63271	information trust	Scholarly works on trust in information, credibility of sources, information-seeking behavior, misinformation and disinformation, and the role of institutions and media in shaping public trust.	Include publications that investigate trust in information sources (news media, social media, governmental communications, experts), factors influencing perceived credibility, trust dynamics in digital environments, effects of misinformation, and interventions to build or measure trust in information. Empirical, theoretical, and review articles are relevant. Exclude papers where 'trust' refers to interpersonal trust unrelated to information exchange, or where information trust is only a passing phrase without substantive engagement.
63273	information politik	Publications on information policy and information politics: regulation, governance, political use of information, transparency, information control, and the political implications of information flows and technologies.	Include works that address policies governing information (data protection, freedom of information, media regulation), the political uses of information and communication (propaganda, public diplomacy, surveillance, open government), and scholarly analyses of how information shapes political processes. Include normative, empirical, and legal studies focused on the politics of information. Exclude publications that only mention 'information' in technical contexts without linking to policy or political effects.
63264	informations- und kommunikationstechnologie	Publications on information and communication technologies (ICT): adoption, diffusion, digital skills, digital divide, ICT impacts on society, employment, education, and public services.	Include empirical and theoretical studies of ICT use, access, outcomes of digital technologies (internet, mobile, broadband, e‑government, ICT in education/workplaces), digital inequalities, policy evaluations of ICT programs, and societal implications of ICT proliferation. Exclude highly technical engineering papers focused on hardware design or low-level protocols when they lack social-science relevance to use, access, or impact.
5945	interesse für politik	Publications on political interest (interest in politics): its measurement, determinants, consequences for participation, civic engagement, political knowledge, and attitudes.	Include studies that focus on individual-level political interest or political attentiveness, its relationship with voting and other forms of participation, media consumption patterns, socialization, demographic correlates, and cross-national comparisons. Also include methodological work on measuring political interest. Exclude works where 'interest' refers to policy interest groups or institutional interests rather than individual political interest.
62692	interesse an führung	Publications that study individuals' interest or aspiration to assume leadership or supervisory roles. Includes empirical articles, reviews, theoretical papers and reports on leadership interest, leadership aspiration, desire for promotion, or intent to lead in organizational, educational or political settings.	Relevant publications explicitly address personal interest in leadership (e.g., leadership aspiration, willingness to lead, desire for managerial positions). Include cross-sectional and longitudinal empirical studies, theoretical treatments, and applied reports in German or English. Exclude works that only discuss leadership styles, team leadership effectiveness, organizational leadership structure, or leader traits without linking them to individuals' interest/aspiration to occupy leadership roles. Exclude studies focused solely on leadership training outcomes unless they measure pre-existing or changed interest in leadership.
15911	motivation in der arbeit 	Publications on work motivation: research about intrinsic and extrinsic motivation at work, employee engagement, motivational antecedents and outcomes, job design effects on motivation, and interventions to enhance workplace motivation.	Relevant publications explicitly address motivation in occupational contexts (paid work, volunteer work, internships). Include empirical studies, meta-analyses, theoretical frameworks (self-determination theory, expectancy theory), and applied evaluations of motivational interventions. Exclude studies of academic or school motivation unless directly tied to work contexts (e.g., vocational training). Exclude literature solely on job satisfaction unless motivation is a primary focus.
15758	job satisfaction	Publications investigating job satisfaction: conceptualizations, determinants (job characteristics, leadership, pay), consequences (performance, turnover, health), measurement issues, cross-cultural comparisons, and interventions to improve satisfaction.	Include empirical studies, reviews and theoretical works where job satisfaction is a primary variable or outcome. Accept workplace-focused research across sectors and populations (employees, volunteers). Include studies on overall and facet-specific job satisfaction. Exclude articles that mention satisfaction only peripherally or focus solely on unrelated outcomes without assessing job satisfaction.
15423	jugendliche	Publications about adolescents (youth roughly aged 10–19): health, education, mental health, social behavior, risk behavior, development, and transition to adulthood. Includes empirical studies, reviews and policy reports focused on adolescent populations.	Relevant work centers on persons in adolescence (approximately ages 10–19, flexible to include lower/upper bounds in studies). Include research on physical and mental health, schooling, labor market entry, identity, family and peer influences, and youth policy. Exclude studies focusing solely on children under 10 or adults beyond adolescence unless data are disaggregated for adolescent subsamples.
17369	kinder und jugendliche	Publications concerning children and adolescents (birth through late adolescence): research on development, health, education, family, mental health, socialization, and policy issues affecting minors.	Relevant publications explicitly target children (infancy, childhood) and/or adolescents (up to ~18–19 years). Include empirical studies, longitudinal cohorts, reviews, clinical and educational research, and policy analyses addressing developmental, health, psychosocial, and educational outcomes. Exclude studies exclusively on adult populations or animal studies. Where age ranges are broad, include only if results for children/young people are separately reported.
6322	klima	Publications addressing 'klima' (climate) in broad senses: atmospheric/climatic systems, climate change impacts, climate policy, climate science, climate perception and discourse. Includes empirical studies, reviews, theoretical work, and policy analyses in social and natural sciences.	Relevant publications are those whose primary topic is climate or climatic phenomena (e.g., temperature trends, precipitation patterns, climate modelling, climate policy, public perceptions of climate). Include interdisciplinary works linking climate to health, economics, agriculture, urban planning, and social responses. Exclude items where 'klima' appears only metaphorically or as a minor mention (e.g., office climate used solely as workplace atmosphere) unless the work explicitly treats atmospheric or socio-environmental climate. Include publications in German or English and both empirical and conceptual studies.
6370	klimawandel	Publications specifically on 'klimawandel' (climate change): causes (anthropogenic and natural), impacts, mitigation, adaptation, vulnerability, policy responses, public perceptions, and communication of climate change.	Relevant works explicitly address climate change dynamics, evidence of warming, attribution studies, mitigation strategies (emission reduction, renewable energy), adaptation planning, socio-economic impacts, and public attitudes to climate change. Include empirical studies, case studies, reviews, policy evaluations, and IPCC-related analyses. Exclude publications that mention 'climate change' only peripherally or use the term metaphorically.
13621	kultur	Publications on 'kultur' (culture): cultural practices, arts, heritage, cultural policy, cultural sociology/anthropology, cross-cultural studies, cultural values and identity, and cultural change.	Relevant publications focus on aspects of culture—traditions, norms, rituals, arts and cultural industries, heritage management, cultural policy, cultural identity and practices, and comparative cultural studies. Include theoretical, ethnographic, historical, policy-oriented, and quantitative works. Exclude works where 'culture' is used only in a narrow biological/medical sense (e.g., cell culture) unless paired with socio-cultural content.
21558	lernen am arbeit	Publications on workplace learning ('lernen am Arbeit'): on-the-job learning, informal and formal workplace training, continuing vocational education, learning organisations, apprenticeships, and adult learning in employment contexts.	Relevant publications investigate how learning occurs at work (formal training, mentoring, peer learning, workplace practices), effectiveness of training programs, impacts on skills and career development, organizational learning, and policy on lifelong learning. Include case studies, evaluations, longitudinal studies, and theoretical work. Exclude general education literature not linked to work contexts or uses of 'learning' that are purely technological (machine learning) unless tied to human workplace learning.
21877	links rechts orientierung	Publications on left-right orientation ('links-rechts Orientierung'): political ideology, ideological self-placement, left-right constructs, partisan placement, ideology measurement, and the role of left-right orientation in voting and attitudes.	Relevant works explicitly study left-right political orientation, including conceptual debates about the left-right dimension, empirical analyses of self-placement scales, its relationship with policy attitudes and party choice, and cross-national comparisons. Include methodological papers on measuring ideological placement. Exclude non-political uses of left/right (spatial orientation, handedness) unless clearly about political orientation.
4835	media	Publications addressing media as channels of communication and information (e.g., mass media, social media, digital platforms), their production, content, audiences, effects, regulation, and representation.	Relevant publications are empirical studies, reviews, theoretical papers, reports, and books that focus on media communication, media use, media effects, media policy, journalism, digital platforms, social media, advertising, media literacy, media representations, and related sociological or political implications. Include publications that examine specific media formats (television, radio, newspapers, online news, blogs, social networking sites), media consumption patterns, media content analysis, audience studies, algorithmic bias in platforms, and media influence on attitudes and behavior. Exclude works where 'media' refers to biological or laboratory media, physical manufacturing media, or unrelated metaphorical uses (unless the communication/media meaning is central). Also exclude purely technical engineering studies of hardware components that do not treat media as channels of communication or social phenomena.
22227	merkmale der arbeit	Publications on characteristics of work (job attributes), work conditions, job quality, job design, employment features, task composition, and occupational characteristics.	Relevant publications include empirical studies, theoretical articles, policy reports, and books that investigate job characteristics such as autonomy, task variety, skill requirements, workload, supervisory relations, work stressors, physical conditions, flexibility, contractual arrangements (temporary vs permanent), job demands–resources, job quality indicators, and occupational qualification profiles. Include research on measurement and conceptualization of work characteristics, sectoral differences, and implications for health, well‑being, productivity, and inequality. Exclude publications that are not about job/work characteristics (e.g., general labor market trends without link to job features), or those using the phrase in unrelated contexts (e.g., product characteristics rather than job attributes).
427	migration	Publications on migration, including international and internal migration flows, causes and consequences, migrant integration, policies, remittances, refugees and asylum, and migration governance.	Relevant publications are empirical, theoretical, or policy-oriented works that analyze migration processes (immigration, emigration, internal migration), determinants (economic, political, environmental), migrant integration and acculturation, labor migration, refugee and asylum studies, return migration, transnationalism, diasporas, remittances, and migration policy and law. Include demographic, sociological, economic, and public-health perspectives. Exclude works that use the term 'migration' in unrelated scientific contexts (e.g., cell migration in biology) unless the human migration meaning is central.
18263	mitarbeiter	Publications concerning employees/staff (mitarbeiter): employment relations, staff management, workplace behavior, employee well‑being, organizational studies, and HR practices.	Relevant publications include empirical studies, theoretical papers, case studies, and reports about employees, including topics such as job satisfaction, motivation, performance, absenteeism, turnover, employee engagement, workplace relations, HR policies, leadership effects on staff, training and development, and staff demographics. Include works that focus on staff in various sectors and occupational groups. Exclude publications where 'Mitarbeiter' is used in non-employee contexts (e.g., co-author lists) or documents primarily about employers, customers, or markets without focus on employees.
20775	mobilität	Publications on mobility (mobilität), including transport and commuting, spatial mobility, social mobility, accessibility, migration-related mobility, and mobility behavior and policy.	Relevant publications are studies, reviews, and reports that investigate human mobility behaviors and systems: transportation modes and choices, commuting patterns, travel behavior, urban mobility, accessibility and spatial planning, mobility inequality, social mobility and career mobility, mobility transitions, and mobility-related policy and infrastructure. Include empirical analyses, modeling studies, and qualitative research on barriers and enablers of mobility. Exclude studies that use 'mobilität' solely in metaphorical or unrelated technical contexts (e.g., molecular mobility in physics or chemistry) unless human or social mobility is central.
20969	motivation and mitarbeiter	Publications on employee motivation and workplace-related motivational processes, including empirical studies, reviews, and theoretical work in organizational/industrial psychology and human resources.	Include studies that investigate motivation among employees, work engagement, job satisfaction, organizational commitment, incentive systems, leadership effects on motivation, motivation interventions in workplace settings, and cross-cultural comparisons of employee motivation. Include both quantitative and qualitative empirical work and meta-analyses. Exclude publications that focus on non-employee populations (e.g., students, athletes) unless the study explicitly concerns workplace or occupational contexts; exclude purely technical HR system descriptions without motivational focus.
21258	motivation und lernen	Publications addressing the role of motivation in learning processes across educational levels and learning settings, including theoretical frameworks and empirical studies.	Include research on how motivation affects learning outcomes, instructional design targeting motivation, self-regulated learning, achievement motivation, intrinsic/extrinsic motivation in classroom and online learning, motivation interventions, and theoretical accounts (e.g., self-determination theory, expectancy-value). Include experimental, longitudinal, and classroom-based studies as well as reviews. Exclude works solely about motivation in non-learning contexts (e.g., workplace motivation) unless tied to learning/training.
21259	motivation und interesse	Publications exploring the relationship between motivation and interest (personal and situational) across educational, psychological, and applied contexts.	Include empirical and theoretical work on how interest and motivation interact (e.g., development of interest, situational vs. individual interest, interest as antecedent/consequence of motivation), measures and interventions to foster interest, and studies linking interest to engagement and learning or behavior. Include cross-disciplinary work (education, psychology). Exclude studies that use 'interest' in a non-psychological sense (e.g., financial or consumer interest) unless psychological interest constructs are central.
7965	nutzung medien	Publications on media use and media consumption patterns, including studies of digital, social, traditional, and multi-platform media usage and effects.	Include empirical studies, surveys, time-use research, and reviews that examine frequency, duration, platforms, purposes (news, entertainment, socializing), media multitasking, demographic differences, and effects of media use. Include cross-national comparisons and studies on media literacy and digital media behaviors. Exclude purely technical telecommunications literature (network infrastructure) unless it directly addresses user media consumption behavior.
6939	online sport	Publications on online sport activities, including online fitness services, virtual training, e-sports, digital sport participation, and studies of online sport communities and platforms.	Include empirical and theoretical work on online fitness platforms, live/recorded exercise classes, tele-coaching, virtual competitions, e-sports as sport, participant motivation and adherence to online sport programs, health and performance outcomes, and platform design for sport. Include comparative studies between online and offline sport. Exclude publications only about traditional offline sport unless they compare or integrate online components.
7159	orientierung beruf	Publications on vocational/career orientation, career choice, guidance and transitions between education and work.	Relevant publications report empirical studies, reviews, theoretical frameworks or policy analyses about occupational orientation, vocational guidance, career decision-making, transition from school to work, apprenticeships and career counseling. Include works in German or English addressing students, jobseekers, trainees or employees and those comparing guidance systems. Exclude publications focused on non-career meanings of 'orientation' (e.g., spatial orientation), purely macro-level labor market statistics without individual-level orientation or decision-making content, and unrelated domains such as political orientation.
